HuMAP3_ID,ComplexConfidence,Uniprot_ACCs,genenames
huMAP3_00000.1,1,P20963 Q9NWV4 Q9UGQ2,CD247 CACFD1 CZIB
huMAP3_00001.1,1,O94887 Q9NQ92 Q9NWB1,FARP2 COPRS RBFOX1
huMAP3_00002.1,1,Q8N3D4 Q9Y3A4,RRP7A EHBP1L1
huMAP3_00003.1,1,O00429 Q5T2D2,DNM1L TREML2
huMAP3_00004.1,1,O95460 P21941 P78540 Q9H267 Q9H9C1,MATN4 MATN1 ARG2 VPS33B VIPAS39
huMAP3_00005.1,1,P01344 P18065,IGF2 IGFBP2
huMAP3_00006.1,1,Q13387 Q14679,MAPK8IP2 TTLL4
huMAP3_00007.1,1,P31273 Q13387 Q14679 Q9UQF2,HOXC8 MAPK8IP2 TTLL4 MAPK8IP1
huMAP3_00008.1,1,O15090 O60315 Q13363 Q8N3X6 Q92618,ZEB2 CTBP1 ZNF516 ZNF536 LCORL
huMAP3_00009.1,1,P12236 Q16651,SLC25A6 PRSS8
huMAP3_00010.1,1,P20823 P35680 P61457 Q9H0N5,HNF1A HNF1B PCBD1 PCBD2
huMAP3_00011.1,1,P00519 Q99759,ABL1 MAP3K3
huMAP3_00012.1,1,O60548 Q3SYB3 Q75N90,FOXD2 FOXD4L6 FBN3
huMAP3_00013.1,1,Q9BTL3 Q9UPZ9,RAMAC CILK1
huMAP3_00014.1,1,A6NER0 O14492 Q6ZSB9 Q86YR5 Q9BRX9 Q9H426 Q9UKY1,SH2B2 ZBTB49 GPSM1 WDR83 ZHX1 RIMS4 TBC1D3F
huMAP3_00015.1,1,P0CG13 Q8WVB6 Q9BVC3,CHTF18 DSCC1 CHTF8
huMAP3_00016.1,1,Q15120 Q16654,PDK3 PDK4
huMAP3_00017.1,1,P57723 Q08752 Q8WV15,PPID PCBP4 TMEM255B
huMAP3_00018.1,1,P23284 Q92838,PPIB EDA
huMAP3_00019.1,1,O43427 Q12767 Q86YS7 Q8TDN4 Q9BTV7,FIBP C2CD5 CABLES1 TMEM94 CABLES2
huMAP3_00020.1,1,A6NKD9 A8MZ97 O75864 O95405 P41236 P62136 P62140 Q02833 Q15435 Q15834 Q96KQ4 Q96S65 Q99622 Q9H788 Q9HCD6 Q9UPR0 Q9UQ13,PPP1R37 ZFYVE9 PPP1R2 PPP1CA PPP1CB RASSF7 PPP1R7 CCDC85B PPP1R13B CSRNP1 C12orf57 SH2D4A TANC2 PLCL2 SHOC2 CCDC85C C2orf74
huMAP3_00021.1,1,Q5T7V8 Q9ULU8 Q9Y4F3,GORAB CADPS MARF1
huMAP3_00022.1,1,P57055 Q04724 Q04725 Q04726 Q04727 Q05925 Q08117 Q0D2K3 Q5TAB7,RIPPLY3 TLE1 TLE2 TLE3 TLE4 EN1 TLE5 RIPPLY1 RIPPLY2
huMAP3_00023.1,1,O00273 Q9UJ04,DFFA TSPYL4
huMAP3_00024.1,1,P08949 Q9H251,NMB CDH23
huMAP3_00025.1,1,Q8WTX7 Q9UL19,CASTOR1 PLAAT4
huMAP3_00026.1,1,P22223 Q5VUB5 Q8TAB3 Q96JQ0 Q9HC56 Q9HCL0 Q9P2E7 Q9Y5E7 Q9Y5G3,CDH3 FAM171A1 PCDH19 DCHS1 PCDH9 PCDH18 PCDH10 PCDHB2 PCDHGB1
huMAP3_00027.1,1,P02585 Q8TEA8 Q9BV87,TNNC2 DTD1 CNPPD1
huMAP3_00028.1,1,O60487 P29275,MPZL2 ADORA2B
huMAP3_00029.1,1,Q5SGD2 Q5VZ19,PPM1L TDRD10
huMAP3_00030.1,1,O95208 Q53ET0 Q6UUV7 Q9Y6R0,EPN2 CRTC2 CRTC3 NUMBL
huMAP3_00031.1,1,Q9BY77 Q9H1N7,POLDIP3 SLC35B3
huMAP3_00032.1,1,O75325 P03923 P11362 P21802 P22607 Q01973 Q8IVU1 Q8WVN6 Q9BX67 Q9UMR7,MT-ND6 FGFR1 FGFR2 FGFR3 ROR1 SECTM1 JAM3 CLEC4A LRRN2 IGDCC3
huMAP3_00033.1,1,Q14191 Q16828 Q86V25 Q96FI4,WRN DUSP6 VASH2 NEIL1
huMAP3_00034.1,1,Q9UPQ9 Q9Y6I3,TNRC6B EPN1
huMAP3_00035.1,1,Q05516 Q8WYQ4 Q9BSU1 Q9H6U6,ZBTB16 PHAF1 BCAS3 C22orf15
huMAP3_00036.1,1,P21757 Q70UQ0,MSR1 IKBIP
huMAP3_00037.1,1,P12111 P53420 Q6ISS4 Q6UXH8 Q96A83 Q9UMD9,COL6A3 COL4A4 CCBE1 COL26A1 COL17A1 LAIR2
huMAP3_00038.1,1,Q8N4E4 Q8TDG2,ACTRT1 PDCL2
huMAP3_00039.1,1,A0AV96 Q15434 Q8TB72,RBM47 PUM2 RBMS2
huMAP3_00040.1,1,Q14990 Q8TB22,ODF1 SPATA20
huMAP3_00041.1,1,P14616 Q30KQ4,INSRR DEFB116
huMAP3_00042.1,1,Q2VY69 Q9UK13,ZNF221 ZNF284
huMAP3_00043.1,1,Q8NBB4 Q8TBC5 Q9UL58,ZSCAN1 ZSCAN18 ZNF215
huMAP3_00044.1,1,Q6ZMR5 Q9BUB7 Q9NUB1,TMPRSS11A TMEM70 ACSS1
huMAP3_00045.1,1,O43427 Q12767 Q8TDN4 Q9BTV7,FIBP CABLES1 TMEM94 CABLES2
huMAP3_00046.1,1,Q12800 Q9NZI6,TFCP2 TFCP2L1
